time,m_x,m_y,m_z,qfi,qfi_raw
16, 2.772816103739887E-001, 7.549950081765344E-002, 2.704942383644862E-001, 4.704179221717679E-002, 4.817079523038903E+003
17, 3.532424042226710E-001, 2.674555153911727E-002,-2.452528501325031E-001, 4.712387116155347E-002, 5.447519506275581E+003
18, 2.082200426413314E-001,-6.618659690895974E-002, 2.978027200297187E-001, 4.706517451454623E-002, 6.099646617085191E+003
19, 1.334761206802590E-001,-6.490768513920894E-002,-2.973361311233742E-001, 4.868590647546852E-002, 7.030244895057655E+003
20, 2.566581645352993E-001, 5.590870714879337E-002, 2.385957033636585E-001, 5.062522192341037E-002, 8.100035507745659E+003
21, 3.200410622817990E-001, 3.270016618853387E-002,-2.281002064346278E-001, 5.112600681753152E-002, 9.018627602612560E+003
22, 2.060461331963560E-001,-6.191731955551153E-002, 2.736886185986074E-001, 5.167068005652600E-002, 1.000344365894343E+004
23, 1.229896622996125E-001,-2.922151928022212E-002,-2.947652137054756E-001, 5.305627000894323E-002, 1.122670673389239E+004
24, 2.655545046734379E-001, 5.501354314570088E-002, 2.436938898407699E-001, 5.416661982196001E-002, 1.247998920697959E+004
25, 3.176548892137367E-001, 6.257385224361560E-002,-2.489930011211080E-001, 5.433971843840316E-002, 1.358492960960079E+004
26, 2.080358358586948E-001,-3.617146621539614E-002, 3.020957986224395E-001, 5.445680607811217E-002, 1.472512036352153E+004
27, 1.918436239502496E-001,-1.010112421995796E-001,-2.738234748905876E-001, 5.499633524139150E-002, 1.603693135638976E+004
28, 2.632605482786458E-001, 5.909865257527304E-002, 1.918626964201254E-001, 5.583140188868135E-002, 1.750872763229047E+004
29, 2.498696121779735E-001, 1.122024295921673E-001,-2.181928458584670E-001, 5.689615373577934E-002, 1.913986611671617E+004
30, 1.610863773091742E-001,-6.341919921843017E-002, 3.068462932945322E-001, 5.773644062147523E-002, 2.078511862373108E+004
31, 2.335853165700247E-001,-6.813533943101176E-002,-2.934387444539722E-001, 5.783013250066274E-002, 2.222990293325476E+004
32, 2.858164499281108E-001,-1.753374903549030E-002, 2.650732957787472E-001, 5.725195207860929E-002, 2.345039957139837E+004
33, 2.403402079593254E-001, 5.364513175051520E-002,-3.029054442772505E-001, 5.649963318481946E-002, 2.461124021530736E+004
34, 2.065863874729033E-001,-1.758388064717321E-002, 3.345931262089050E-001, 5.612942143900473E-002, 2.595424447339579E+004
35, 2.404958221433600E-001,-7.521882760472789E-002,-3.091397800258389E-001, 5.545201076849663E-002, 2.717148527656335E+004
36, 2.534396601345304E-001, 1.531835322177343E-002, 2.641098544637416E-001, 5.466980104458001E-002, 2.834082486151028E+004
37, 1.761486298265462E-001, 7.071331110324572E-003,-2.692124799958643E-001, 5.472605589966287E-002, 2.996798821065539E+004
38, 2.073748484828733E-001, 1.006834880660276E-002, 2.654187937282749E-001, 5.564454854375553E-002, 3.214029123887319E+004
39, 2.871615215309496E-001, 1.784500733587604E-002,-2.658674273222285E-001, 5.593075530012689E-002, 3.402827152459720E+004
40, 2.913380731007139E-001,-9.329038302859385E-002, 3.078415944280180E-001, 5.516425277994647E-002, 3.530512177916574E+004
41, 1.584443281067764E-001, 6.657877324931413E-002,-3.885072395282638E-001, 5.422329689168947E-002, 3.645974482997200E+004
42, 1.969583845210143E-001, 9.250268450744958E-002, 3.710920177251987E-001, 5.316944855117652E-002, 3.751636289771015E+004
43, 3.042254428403139E-001,-3.358067793352718E-002,-3.083131189905606E-001, 5.177295083765627E-002, 3.829127443953058E+004
44, 2.658849161420090E-001,-8.488908405296738E-002, 3.326784760664953E-001, 5.046845204766932E-002, 3.908276926571512E+004
45, 1.229463517511567E-001,-4.334071786158947E-003,-3.843593570442447E-001, 4.976951930383978E-002, 4.031331063611023E+004
46, 2.062160704366699E-001, 1.419173024441869E-001, 3.096601134783589E-001, 4.958605519112435E-002, 4.196963711376765E+004
47, 3.160441534786779E-001,-1.680122857015012E-002,-2.357568346118995E-001, 4.957882086727441E-002, 4.380784611832366E+004
48, 2.947314104795683E-001,-1.105671068005103E-001, 2.806305008071251E-001, 4.951481088371318E-002, 4.563284971043006E+004
49, 1.728284770856179E-001, 6.350359213224431E-002,-3.638318173588063E-001, 4.945146851218982E-002, 4.749319035910710E+004
50, 1.896509153433454E-001, 3.288747949963682E-002, 3.676163836518913E-001, 4.892823494617569E-002, 4.892823494617570E+004
51, 2.454216974446805E-001,-1.072665966324924E-002,-3.470726511544230E-001, 4.768939913278691E-002, 4.961605085775150E+004
52, 2.498191819866467E-001,-1.561781079975440E-002, 3.488117532326150E-001, 4.657420993771670E-002, 5.037466546863438E+004
53, 2.007780498159965E-001,-1.236900849915208E-002,-3.584421673396327E-001, 4.610032510475867E-002, 5.179832528770684E+004
54, 2.630386720929023E-001, 7.232477300227251E-002, 3.167904906875193E-001, 4.574025444505874E-002, 5.335143278471651E+004
55, 2.766441703877166E-001, 1.726925854260628E-002,-2.908396754280548E-001, 4.541366198724350E-002, 5.495053100456463E+004
56, 1.605249053763913E-001,-7.127099587877356E-004, 3.091826457924870E-001, 4.553084620500432E-002, 5.711389347955742E+004
57, 2.309350807470851E-001,-4.561950784977699E-002,-2.861365753079794E-001, 4.598004869633998E-002, 5.975567128576344E+004
58, 2.971602624838811E-001, 6.952689023041458E-003, 2.569627232291937E-001, 4.615701959310992E-002, 6.210888556448871E+004
59, 2.301081436003904E-001, 1.289711671080664E-001,-3.093247173484926E-001, 4.607624993744690E-002, 6.415657041290106E+004
60, 1.162306639606848E-001, 1.418772642866679E-002, 3.777250689062454E-001, 4.585079734333556E-002, 6.602514817440321E+004
61, 2.564739935692497E-001,-1.267612616500643E-001,-2.999877220797115E-001, 4.580202749723508E-002, 6.817173772688469E+004
62, 3.300130571467700E-001, 1.550559076832217E-002, 2.368732048592039E-001, 4.587254912376329E-002, 7.053363153269843E+004
63, 2.565809381508449E-001, 7.560377021953149E-002,-2.695763813302082E-001, 4.604287938581241E-002, 7.309767531291579E+004
