time,m_x,m_y,m_z,qfi,qfi_raw
1,0.2486846966786154,0.0,0.0,0.33626390056752004,2152.08896363212827745113823561435303362601771113908269246133
2,0.39754624053955956,-1.7914637987414192e-62,1.5486201973180058e-61,0.24568358160201012,6289.49968901145894351572426201269185286139569270046488026866
3,0.27497903848220495,1.1030155133266214e-61,-1.971464637253296e-61,0.215524888639381,12414.2335856283444656160821547528002509836409912725079003511
4,0.0841945937953319,-6.840339000950721e-62,5.537954506673742e-61,0.2322039964071199,23777.6892320890752946452070931201893694131212011711186324879
5,0.21625584668115358,-2.4771923038007112e-61,-6.355978666582431e-61,0.24607111237359575,39371.3779797753200447782619866672100865989335412898769238814
6,0.34382842276478787,5.271498803826206e-62,4.876893558523502e-61,0.23695310751340612,54593.9959710887706332742469713107257615773058177586557707955
7,0.24585475871161902,2.307749304091696e-61,-5.9883623443689006e-61,0.22951440195358788,71975.7164526451612049274856186080972759941657418800581685082
8,0.14824648048590625,-1.4064470177491847e-62,8.736364499380074e-61,0.23444257488047593,96027.6786710429457471701767264297511547526307452351368670637
9,0.23600682493920624,-2.1900043547198267e-61,-7.795635474034646e-61,0.23821406275127815,123490.170130262589960305737257954577723749573109195208682822
10,0.2884952452940014,4.003493322553382e-62,9.415398598067085e-61,0.23512331483386778,150478.921493675381409520498132469998802509782065370292094145
11,0.2263397651023175,3.241782807788254e-61,-1.1136126483123128e-60,0.23339282254878885,180739.401781782075073860311095912823207583989453444761625297
12,0.1982888899977292,-1.2214046922768134e-61,1.3661666993051447e-60,0.235407756790711,216951.788658319254919926221560056374166088949486519087511143
13,0.2553083174665686,-4.355114770335616e-61,-1.1661604190245976e-60,0.23593658707251725,255189.012577634663051304870583521318212699431082369471231945
14,0.2580059550207376,1.8408442886540485e-61,1.207258342542156e-60,0.2344358396877931,294076.317304367675363075147355486962727150038867901335021058
15,0.2225364627398614,1.420095576845853e-61,-1.2107160611494185e-60,0.23422765428647802,337287.82217252834186244536946813127774405010035112956158424
16,0.21670483820018469,-4.717948037052113e-61,1.5722193823074127e-60,0.23498384465570527,384997.531083907507289685893866565591447115042455498097616396
17,0.2368191444718642,-6.367700959530887e-62,-1.8174437644550744e-60,0.23494624678858853,434556.578060173328760724630141242897917219836702374990013061
18,0.24134367381361435,3.010514280236849e-61,1.951607782157893e-60,0.2345801513233445,486425.401784087187532179871471918261624293465813040233482703
19,0.22345151248840137,-1.5068703217456432e-61,-1.764321524983883e-60,0.23479176127609488,542462.885252289614176827836937558609651755544778972548315615
20,0.24041639822550753,-2.324285521006142e-61,2.112919094436829e-60,0.23500813156500233,601620.816806405935883720598683235145246640742663516674151687
21,0.25213461377173035,4.473014626962488e-62,-2.217468855379975e-60,0.23466551444856873,662319.947979640415634096643601687980391162219894819888817728
22,0.2340828325739558,-4.332121001369098e-62,2.732918286002827e-60,0.23445899931014558,726260.196263106918971334662739368678606943089778491560729334
23,0.23047065962697924,-1.1239118544739397e-61,-2.64903777430015e-60,0.2346107790477828,794298.253544173440111657057627351388093459972065416870061118
24,0.22363019482791222,-2.0667295980735668e-61,3.078875699614912e-60,0.23462028015558994,864904.200765566795409358858407805568040004216888677682944561
25,0.22267856956542864,-1.7544336807858377e-61,-3.0387459887742584e-60,0.23469558014473907,938782.320578956228448191454427579104165446741748363198820537
26,0.24283182337548714,-8.23448405020725e-62,3.4801623363943423e-60,0.23478032928179243,1015753.61660474675576778838099600114503489364911207264373985
27,0.24074338123131875,-7.144639180918027e-63,-3.4758489174344245e-60,0.2347033336116863,1095031.8732986836049969823124346523929290314495818714625372
28,0.24215765653784918,-1.340297706406723e-61,3.9832619626335966e-60,0.23460899564163445,1177174.09653146506770618899173702155707516062415571315898324
29,0.24023385148893453,-1.583584058333645e-61,-3.8812290301591357e-60,0.23448433191212192,1262088.46808380500657258803908130010509363682640093190602062
30,0.22089437990191044,1.061130112466067e-61,4.0924130939001013e-60,0.23460014529244755,1351296.83688449792164390566338305796807385437541097142442291
31,0.23565870307781075,4.14934210179809e-61,-4.1978627905557035e-60,0.23466335555904408,1443273.50203034464121916495333144830615286133116190209080522
32,0.22874755689933865,-3.181329432474421e-61,4.982577852119117e-60,0.23462035497761577,1537607.95838130276480531055617395526484165794743507062195239
33,0.24105836712645884,-7.495655902382581e-61,-4.720893884665083e-60,0.23464318418663846,1635369.13650719550046720918663149517660021580606014082833986
34,0.23708091306637188,-1.8396381857843033e-61,4.7567043795489924e-60,0.23448893273804264,1734842.91996913455973255713403440519902212534687851826024221
35,0.23137771407931648,5.810798429700599e-61,-5.036172778094908e-60,0.23457589428618583,1839075.01120369702857896704582482106531605535855110633487126
36,0.23075772733385216,-6.389283176928091e-61,6.05340801453043e-60,0.23457305604786963,1945642.75608344975985331989959733012196574527058800881108465
37,0.22686842086149014,-1.705910656080228e-60,-5.660901789523294e-60,0.23476917209677517,2056953.57824310536662791552783468504143729799922679516463064
38,0.25705338064424305,4.018416686072399e-61,4.97668399367723e-60,0.23460106709644019,2168089.22167846168059755241891858135703984350724514177395292
39,0.23525247825084153,1.0721716794355506e-60,-5.39057066956105e-60,0.2345093925164291,2282808.23051192736625497304033119660393594888253825518156049
40,0.24584147878313126,-9.746053423969806e-61,6.65273554255702e-60,0.2343132745590814,2399367.93148499348535653685905512345760390658001948802165764
41,0.1963202833285104,-1.3161755084020675e-60,-6.35684427792207e-60,0.2344409928522076,2522209.97750119022651085686407745740409475474503185009342448
42,0.23460297482016074,4.349298243373148e-61,6.032931355060676e-60,0.23461197869213854,2648675.39464276722451298838233960588697762385121430647648221
