time,m_x,m_y,m_z,qfi
1,0.28462482232482655,0.0,0.0,626.6836312218752
2,0.43074404437996455,1.3310213238706968e-51,-1.9483634978658324e-51,1409.4413433086415
3,0.33448545255545314,-1.0044837469740652e-51,3.4624294133230505e-51,1950.6222286441355
4,0.20304557604513254,-1.5089470966285417e-51,-4.576253076085603e-51,3007.790097096145
5,0.2756976004038653,2.2447201451545732e-51,1.0399870955165499e-51,4923.531417351937
6,0.28778116312353846,3.292838583677447e-51,-2.1617889946119382e-51,6958.053485529327
7,0.2758662855676312,-6.554539984988492e-51,7.049281625733227e-51,9132.480155766945
8,0.23219001800914074,4.547162692307764e-51,-1.6841160428127273e-50,11874.464184610544
9,0.26426718961430073,7.247735387749921e-51,1.8443660969194666e-50,15440.278540296335
10,0.3078050213599707,-1.0780559003406063e-50,-8.162391559718413e-51,19094.165904418136
11,0.3169751675512202,2.861658832339102e-51,1.0305769436772049e-51,22569.05328994341
12,0.3174874082642335,1.926366151639149e-52,6.530156400540275e-52,26245.8866558936
13,0.27397649949763775,-5.658016316167275e-51,2.5108873769719904e-51,30212.61141203669
15,0.2354825991663686,-6.975112014486109e-51,1.73777196361599e-50,40975.10841611198
16,0.30629837427886425,-4.3195505169779615e-51,-2.218419906553852e-50,47072.47152614645
18,0.33328907955131,-9.048777310706698e-51,-6.910843449596881e-51,58275.154999469945
20,0.18738626933464833,9.209187581948815e-51,-4.325718522502589e-51,71004.07072793721
23,0.32222671166247124,4.0661573797614e-51,1.6629419713893642e-50,94887.56505697114
25,0.26766045621905615,4.007467930040722e-51,1.8679412393148254e-50,112200.50787747142
28,0.1930835873827026,8.682960431959476e-52,-1.4135766917422563e-50,137969.78945372783
31,0.37445797583591905,-3.7033410373615743e-51,1.2749041655622111e-50,174108.88432937465
34,0.2250143383008357,-1.2903797042189802e-50,-3.1689165019451234e-50,203608.84054022547
38,0.29690849330875574,1.4339664596116423e-50,-3.314316441704683e-50,254707.7486771311
42,0.2486503012267405,7.588698058289075e-52,-1.8119414774548557e-50,308549.1241017873
47,0.27599432057208495,1.9517391732207537e-50,3.217704222380874e-50,387647.39009140246
52,0.2769038875585917,-2.316103296601587e-51,-4.175114675387702e-50,472089.5685599922
58,0.31585058499183644,3.782900068350675e-51,-4.799865281536524e-50,579123.5453290478
65,0.26431943286414045,1.6435845446417894e-50,3.9818631850267363e-50,727110.9968206781
72,0.22388709898541267,-5.043705733479348e-51,-5.982384686716183e-50,876795.3923242472
80,0.17337461380742103,2.1112837296506954e-50,-5.70771372176358e-50,1074034.239342243
89,0.19324023361876672,3.5105430925882325e-50,6.779539790543829e-50,1314325.6241320318
98,0.25713138480152803,-2.0724332447231027e-50,-4.395349500605577e-50,1564066.3554728166
109,0.2142592128375809,-2.3600253237783466e-50,6.090720456914529e-50,1900916.813605666
121,0.3371628683252267,-2.0316319362175583e-50,4.708110510779367e-50,2290128.005938243
135,0.314726823914943,3.545878411678344e-51,8.35510576538876e-50,2799025.101765768
149,0.26155668030931345,2.73735161158808e-50,7.995346442860937e-50,3351113.047884551
166,0.3414656119409686,-5.119467910108527e-50,-9.970438188534363e-50,4074440.5095635518
184,0.18010658689542142,3.47530390825948e-51,-9.854026514660014e-50,4931663.726740413
204,0.2707205793820017,-4.282653838791513e-50,-1.3209596019972239e-49,6005280.515548637
227,0.2336289520432683,-5.262441170697208e-50,1.4749705564521387e-49,7385948.523234453
252,0.30190672394037293,4.281706880172675e-50,-1.6900192721489057e-49,9116989.768517308
280,0.2629435953041602,-8.684363748204219e-50,-2.2416128019706176e-49,11317311.550207699
310,0.29905566724793725,-7.617144248221158e-50,-2.0191944697084976e-49,13929261.930338984
344,0.33973279137985274,-6.899895143563614e-50,-2.229969692725753e-49,17154639.28076064
