time,m_x,m_y,m_z,qfi
1,0.0068171639445299935,0.0,0.0,40.118681738875395
2,0.010538403578156726,7.553188381212632e-53,1.3346743650891235e-52,160.4484883972377
3,0.0020354911318762035,-1.4335313473134497e-52,9.541249677219691e-52,361.0060016543064
4,0.002172375193015135,-1.2075449416664403e-52,-1.74019827069778e-51,641.826805301525
5,0.010612813584040618,-2.6808188038377657e-53,3.046899690957545e-51,1002.8396079097746
6,0.00664156414671209,1.7140840520180822e-52,-5.483107397759979e-52,1444.041829230714
7,8.449217470357831e-06,-8.912451248917553e-54,-3.225948697105716e-51,1965.5441857929538
8,0.006990463176963458,-1.572076215413895e-52,-5.933788297320397e-52,2567.2809676444776
9,0.010453076878396096,-1.937655972484872e-52,3.2423054107211437e-51,3249.141227722778
10,0.0018956636998311272,1.2955574184144758e-52,-1.6200921467726765e-51,4011.2727539538296
15,0.007166169710035032,1.7968368958445238e-52,-1.0238359532727698e-51,9025.528661507586
24,0.0016348172477269956,2.2076900225777844e-52,-3.3410465220189745e-51,23105.06913722067
37,0.010075064309383664,-4.739214402475296e-52,3.91022160823494e-51,54914.75197353513
58,0.009739604355293145,9.587236221681832e-52,-9.635252007853864e-51,134940.34333691705
91,0.0004890641289589215,1.0438933431874684e-51,1.1484310884472333e-50,332176.9628169298
141,0.009827907766087262,8.038474961100448e-52,1.272798906179204e-50,797489.4618619381
220,4.055172061619936e-05,-1.6992932167103627e-51,-3.5286177043264663e-50,1941475.2631863074
343,0.005653554411990035,5.62346600301554e-51,4.978902984497577e-50,4719270.543045157
533,0.007970596470136431,-9.34288830332715e-51,8.546119836618557e-50,11395694.294606423
830,0.005400728450302991,1.376059889137619e-50,-1.345457482144645e-49,27633925.636915877
1291,0.0035670520506636137,-1.7475257312867988e-50,2.1357846026958625e-49,66855772.57557034
2009,0.01106837388014053,-7.387702672943653e-51,3.186046728913428e-49,161899812.40999874
3125,0.0025702231303684647,5.348026077868523e-50,5.046522064450355e-49,391729724.66429466
4862,0.0064131828104730644,8.436309746572746e-50,-7.824846333063599e-49,948235839.6842877
7564,0.006726398828916771,1.3233101122913835e-49,-1.216634652220411e-48,2295035995.918109
11768,0.00021006708408995227,-1.2218891659186326e-50,-1.8933463034644666e-48,5555098789.7578
18307,0.00039498121153678503,2.1031370913228997e-49,2.9398877280833214e-48,13443762538.08372
28480,0.0016889921636943964,-4.540769517999301e-49,-4.580890285613881e-48,32536170849.13767
44306,0.011109994283131369,2.6641133636196947e-49,-7.11439820082254e-48,78742927121.40129
68926,0.0005497124105384632,1.3914053788845687e-49,-1.1094311589957638e-47,190569159961.42697
107226,6.4009453411396936e-06,-6.839202559256165e-49,-1.7256496154190217e-47,461197218051.9352
166810,0.0008863995329150168,6.999050790034608e-49,-2.684798712909026e-47,1116170738995.3533
259502,0.009237059464873255,4.222199229580313e-48,-4.169797080355871e-47,2701269326096.323
403701,0.010096399063760362,-5.764002024891125e-48,6.485061647497409e-47,6537415958297.037
628029,0.010021210313466446,-9.109602384092046e-48,1.0088230253287282e-46,15821434769960.195
977009,0.007537543887231863,1.3201006868858448e-47,1.5694151043945004e-46,38289844032364.125
1519911,0.003380890930564721,2.6694536204981442e-47,2.4435797270754755e-46,92666505271911.89
2364489,0.011094371727553882,-1.0475843592512195e-47,3.796658525895259e-46,224264774794480.84
3678379,0.006231559192729774,-6.335406792671989e-47,5.914904211154264e-46,542749481925734.3
5722367,0.008890040067257726,5.646537158162954e-47,9.189869132330309e-46,1313523610508561.5
8902150,0.007012943722817127,1.5641236004955734e-46,-1.4312187980033954e-45,3178895738461999.0
13848863,0.0013768414792571335,2.1166769618128783e-46,2.2276746770555218e-45,7693336111101246.0
21544346,0.006379778970176891,3.7305990461477166e-46,-3.4642205793426293e-45,1.861886053532733e+16
33516026,0.007425407818036772,5.900959812728387e-46,-5.387941813381717e-45,4.506003303021368e+16
52140082,0.0015842625694473566,-8.20369799074564e-46,-8.386586055450606e-45,1.0905105914804699e+17
81113083,0.006785309072881278,1.2132451496004177e-45,1.3031312424979775e-44,2.6391755874068848e+17
126185688,0.003513319709741391,1.6882991249093344e-45,-2.0301589446583163e-44,6.387143404674671e+17
196304065,0.010215595739293357,8.306081248554517e-46,3.1520444773661797e-44,1.5457706297180442e+18
305385550,0.009163009693628271,-2.729076676447206e-45,-4.904216861043529e-44,3.740963140641695e+18
475081016,0.003038679038917811,-8.285279432168328e-45,-7.638665162669216e-44,9.05361057552007e+18
739072203,0.011109206814551938,-4.234581427220168e-45,1.1867619123493331e-43,2.1910898725282714e+19
1149756995,0.0017157351598843815,1.8390016317944236e-44,1.8492860344928206e-43,5.302718538639524e+19
1788649529,0.007023410097070547,-3.1435116063169506e-44,2.875650319298052e-43,1.2833259015503897e+20
2782559402,0.011009513486786731,6.874858540765741e-45,-4.467837007444405e-43,3.105813285483134e+20
4328761281,0.00260214141827781,-4.775379874624866e-44,6.965491537927448e-43,7.516466517867097e+20
6734150657,0.01081242822208313,-3.995313703690653e-46,1.081259946854928e-42,1.8190813068067112e+21
10476157527,0.008127723106477308,-1.8239348101823304e-43,1.6838370120966463e-42,4.402410086489186e+21
16297508346,0.010924483695021484,1.6046161560938889e-43,-2.6173302243242296e-42,1.065439708361844e+22
25353644939,3.367152826542426e-05,1.915425440933371e-43,4.080316805077206e-42,2.5785007517575655e+22
39442060594,0.008815388790240079,-3.97278230287737e-43,-6.334325894943339e-42,6.24030254567973e+22
61359072734,0.00827733391282498,-7.133048753992841e-43,-9.854976477542092e-42,1.5102332544581258e+23
95454845666,0.005840312057770605,-1.5553274108166212e-42,-1.5337988222357047e-41,3.654958169552744e+23
148496826225,0.01058341432616987,-1.8530275412593847e-42,2.385136479151396e-41,8.845467479075985e+23
231012970008,0.008754786790134618,-2.314162636828416e-42,-3.7099345682592755e-41,2.140716531285518e+24
359381366380,0.00101594753186366,-5.2909956188339053e-42,-5.781122460794397e-41,5.18080826299217e+24
559081018251,0.003765493469512277,9.905819223155059e-42,8.986574580464824e-41,1.253821863080333e+25
869749002617,0.0007602217836454434,-1.681677588184597e-42,1.3997732117724339e-40,3.034408629314502e+25
1353047774579,0.00016127632099914384,5.509317367670547e-42,2.1773790707520304e-40,7.34365166107184e+25
2104904144512,0.003341152205804928,-3.754938749836194e-41,-3.382150579007337e-40,1.7772541522060752e+26
3274549162877,0.002205977302471566,5.904444771137521e-41,5.260699306065923e-40,4.301161406548849e+26
5094138014816,0.0009550653463757436,-2.1323012438823563e-41,-8.188740476651621e-40,1.040924023807527e+27
7924828983539,0.008321309125223548,-1.1263001841089929e-40,1.2716799838569272e-39,2.519104170496653e+27
12328467394420,0.009953580066337566,1.479928811766966e-40,-1.9745166752519423e-39,6.096246655184807e+27
19179102616724,0.01096323783019311,1.554562385407572e-40,-3.066584273612043e-39,1.4752668589065345e+28
29836472402833,0.003904741954867934,-2.050480259647806e-41,4.778140898313366e-39,3.570227699124165e+28
46415888336127,0.009207442925324159,-1.2919730164111052e-40,7.428724570567677e-39,8.64045462823201e+28
72208090183854,0.00208132115679262,-2.0294878215520347e-40,-1.1559765024638861e-38,2.0910946411710213e+29
112332403297802,0.010175914545269798,2.1769509400411036e-40,-1.7980260778054089e-38,5.0607024417533495e+29
174752840000768,0.009641954103164355,5.629790274080086e-40,-2.7984505125301473e-38,1.2247551241041752e+30
271858824273294,0.011042698407845171,9.034698043936706e-40,-4.35305032740415e-38,2.9640644369403207e+30
422924287438948,0.002786563154435113,-9.422951071046573e-40,-6.773366290946112e-38,7.173414829872032e+30
657933224657565,0.006434603474867069,2.914180049725981e-40,1.0540787068656712e-37,1.736058407134258e+31
1023531021899022,0.006705337089090375,1.570947605987047e-39,-1.6415248015771946e-37,4.201483694526983e+31
1592282793341087,0.004364218360987308,-3.326446670523979e-40,2.556236192281984e-37,1.0168127931005675e+32
2477076355991704,0.011085305569783441,7.34319963986157e-39,-3.9818107613491e-37,2.4608165105972427e+32
3853528593710519,0.0009307917160850297,1.1184990378173962e-38,6.209139685787924e-37,5.955486585959181e+32
5994842503189397,0.00048255052297501447,1.3717428737496963e-38,9.697295118211806e-37,1.4413012085169806e+33
9326033468832180,0.006464153011005813,1.2760469235320617e-38,-1.517362099755814e-36,3.4881166145746134e+33
14508287784959312,0.01014762535336421,4.2100867141666477e-38,-2.381252991227969e-36,8.441588999906635e+33
22570197196339168,0.0007820366141576538,-6.671131695886542e-38,-3.754881364196837e-36,2.0429138874176702e+34
35111917342151416,0.008845658247717615,8.666910467290939e-38,-5.9649913995702816e-36,4.943768521653551e+34
54622772176843368,0.008753321756671205,4.6694697594749587e-38,-9.57246825501793e-36,1.196253275271614e+35
