time,m_x,m_y,m_z,qfi
1,0.1614289331362453,-2.4817428207962922e-11,-0.4731543483958316,0.5817745929220902
2,0.16142893313624532,4.963484289141303e-11,0.4731543483734959,0.974713882851892
3,0.1614289331362453,-7.44522618521772e-11,-0.4731543483362698,0.27536741356839733
4,0.1614289331362453,9.926969292665367e-11,0.4731543482841532,0.0964717134583097
5,0.16142893313624532,-1.2408711601608525e-10,-0.4731543482171462,0.8575633016070165
6,0.1614289331362453,1.4890452934351102e-10,0.47315434813524865,0.7919438764901502
7,0.1614289331362453,-1.737219539100932e-10,-0.47315434803846074,0.0566381258504739
8,0.1614289331362453,1.9853938446063414e-10,0.47315434792678235,0.34835852882283086
9,0.16142893313624532,-2.233568021450339e-10,-0.4731543478002135,0.996752970446428
10,0.1614289331362453,2.4817421758814225e-10,0.47315434765875414,0.4967781590804339
10,0.1614289331362453,2.4817421758814225e-10,0.47315434765875414,0.4967781590804339
11,0.1614289331362453,-2.729916468833827e-10,-0.4731543475024044,0.009677098711616762
12,0.1614289331362453,2.9780907374198417e-10,0.4731543473311642,0.6589760566541996
13,0.16142893313624532,-3.226264878114783e-10,-0.4731543471450335,0.9453215642725491
14,0.1614289331362453,3.474439079831687e-10,0.4731543469440124,0.20322189326595025
15,0.1614289331362453,-3.7226133935135173e-10,-0.4731543467281008,0.15255860609381694
16,0.16142893313624532,3.9707876071203464e-10,0.4731543464972988,0.9084523337184526
17,0.1614289331362453,-4.21896174359559e-10,-0.4731543462516063,0.7234244320981508
18,0.1614289331362453,4.4671360005124276e-10,0.4731543459910234,0.024181775673224704
20,0.16142893313624532,4.963484461862784e-10,0.47315434542518614,1.000975957118677
21,0.1614289331362453,-5.21165862721691e-10,-0.4731543451199319,0.4161885298713276
23,0.1614289331362453,-5.708007181222418e-10,-0.4731543444647519,0.7354482123371678
24,0.16142893313624532,5.956181314344883e-10,0.47315434411482626,0.9009279213872867
26,0.1614289331362453,6.452529840925282e-10,0.4731543433703036,0.2156826642393788
28,0.1614289331362453,6.948878177706911e-10,0.47315434256621913,0.6469800239526623
30,0.1614289331362453,7.445226734207646e-10,0.4731543417025728,0.5125901930132014
32,0.1614289331362453,7.94157505921489e-10,0.4731543407793647,0.33720269477274595
34,0.16142893313624532,8.437923600843854e-10,0.47315433979659477,0.8051564229648497
37,0.1614289331362453,-9.182446263089881e-10,-0.4731543382107615,0.28806870008064167
40,0.1614289331362453,9.926968865515182e-10,0.47315433649091415,0.003236475882528355
42,0.16142893313624532,1.0423317278096682e-09,0.473154335269897,0.9725499334113559
46,0.1614289331362453,1.1416014113498632e-09,0.4731543326491772,0.7832420237212023
49,0.16142893313624532,-1.2160536814259469e-09,-0.4731543305272876,1.0019854248275226
52,0.1614289331362453,1.2905059503157697e-09,0.47315432827138393,0.6759888528787096
56,0.16142893313624532,1.3897756329466356e-09,0.47315432505504607,0.9212812823694116
60,0.16142893313624532,1.4890453136076615e-09,0.47315432160046095,1.0071070109762899
65,0.1614289331362453,-1.6131324142320646e-09,-0.47315431694719434,0.14494995857718024
69,0.1614289331362453,-1.7124021000287303e-09,-0.4731543129565529,0.020293591739338947
74,0.16142893313624532,1.8364892069696167e-09,0.473154307633216,0.8345846649166727
80,0.1614289331362453,1.9853937230506387e-09,0.4731543007538267,0.03064866376603102
86,0.1614289331362453,2.1342982358259564e-09,0.47315429333838116,0.8046427694138567
92,0.1614289331362453,2.283202761915995e-09,0.47315428538687937,0.7309866017630898
98,0.1614289331362453,2.4321072680512533e-09,0.4731542768993213,0.07680697987649762
105,0.1614289331362453,-2.6058291940970287e-09,-0.47315426631965474,0.20346760692874663
113,0.1614289331362453,-2.8043685428572283e-09,-0.47315425333518013,0.18236425025772104
121,0.1614289331362453,-3.0029078816430594e-09,-0.4731542393977168,0.7565798110420665
130,0.1614289331362453,3.226264615891621e-09,0.473154222578951,0.6398479275769162
139,0.1614289331362453,-3.4496213653387897e-09,-0.4731542045540589,0.70932005158418
149,0.1614289331362453,-3.6977955018447145e-09,-0.4731541831118083,0.3219112691196235
160,0.1614289331362453,3.970787046218682e-09,0.47315415780548586,0.4283367875429615
172,0.1614289331362453,4.2685959900612184e-09,0.47315412814370694,1.268838666133092
184,0.16142893313624532,4.566404900697545e-09,0.4731540963377037,1.592528321937232
197,0.1614289331362453,-4.8890312166419e-09,-0.47315405946150285,1.3012891887120672
212,0.1614289331362453,5.261292306788059e-09,0.473154013785047,2.0093162579072246
227,0.16142893313624532,-5.633553356597377e-09,-0.4731539647582415,2.6597366106282205
243,0.1614289331362453,-6.0306317628134856e-09,-0.4731539087701529,2.4339004025976774
261,0.1614289331362453,-6.477344918095613e-09,-0.4731538412270787,3.3014002592599807
280,0.1614289331362453,6.948875406506622e-09,0.47315376469762277,3.9513375434927656
300,0.16142893313624532,7.445223194536741e-09,0.47315367833303107,6.14096082654398
321,0.1614289331362453,-7.966388279662084e-09,-0.4731535812398787,7.45593262047284
344,0.16142893313624532,8.537187991267642e-09,0.47315346736520225,9.744959115532732
369,0.16142893313624532,-9.15762231282677e-09,-0.47315333465412474,12.80332754824323
396,0.1614289331362453,9.827691172210331e-09,0.4731531808730852,15.756725603999397
424,0.1614289331362453,1.052257715718372e-08,0.4731530099308308,21.403710302850183
455,0.1614289331362453,-1.1291914920450263e-08,-0.473152807056054,27.648893675163144
488,0.1614289331362453,1.2110886992967746e-08,0.4731525753683145,36.707133221688615
523,0.1614289331362453,-1.297949327317809e-08,-0.4731523119193209,47.92093546897631
560,0.1614289331362453,1.389773366782492e-08,0.47315201358210074,62.862085381280174
601,0.1614289331362453,-1.4915242589534113e-08,-0.4731516591824913,83.99332321198963
644,0.1614289331362453,1.598238524186931e-08,0.47315126060309043,110.0784768965184
690,0.1614289331362453,1.7123978667349484e-08,0.47315080373526597,144.972669427241
740,0.16142893313624532,1.8364839801691655e-08,0.4731502714029853,192.20721886235984
793,0.1614289331362453,-1.9680151028450156e-08,-0.4731496664876267,252.67877632651124
