time_points,initial_state,qfi_values,m_0_values,m_1_values,N,h,J,tau
21,PHYS,0.028467903399681593,0.45568091770567565,0.0001630842719146125,40,0.4,1.0,1.0
22,PHYS,0.027512037330519556,0.45568091770566044,0.00016308427191695022,40,0.4,1.0,1.0
23,PHYS,0.027097491030702643,0.45568091770564667,0.00016308427191739702,40,0.4,1.0,1.0
24,PHYS,0.02710153432535716,0.45568091770563185,0.0001630842719202087,40,0.4,1.0,1.0
25,PHYS,0.027508864246746846,0.4556809177056181,0.0001630842719186898,40,0.4,1.0,1.0
26,PHYS,0.027988255963778047,0.4556809177056046,0.00016308427192311125,40,0.4,1.0,1.0
27,PHYS,0.028545327489288213,0.4556809177055925,0.0001630842719246281,40,0.4,1.0,1.0
28,PHYS,0.02930669609231224,0.4556809177055759,0.00016308427192653568,40,0.4,1.0,1.0
29,PHYS,0.029781756629709326,0.4556809177055647,0.00016308427192666882,40,0.4,1.0,1.0
30,PHYS,0.029743183876738476,0.4556809177055484,0.0001630842719291356,40,0.4,1.0,1.0
31,PHYS,0.029744138391419612,0.45568091770553654,0.00016308427193116037,40,0.4,1.0,1.0
32,PHYS,0.029866721887536266,0.45568091770552027,0.00016308427193271468,40,0.4,1.0,1.0
33,PHYS,0.02991348609002235,0.45568091770551,0.00016308427193413092,40,0.4,1.0,1.0
34,PHYS,0.03000091162268514,0.45568091770549224,0.00016308427193539271,40,0.4,1.0,1.0
35,PHYS,0.030697076312692244,0.45568091770547936,0.0001630842719368749,40,0.4,1.0,1.0
36,PHYS,0.03169200786912758,0.45568091770546476,0.00016308427193884728,40,0.4,1.0,1.0
37,PHYS,0.03203437658265327,0.4556809177054511,0.00016308427193892084,40,0.4,1.0,1.0
38,PHYS,0.03197563110586431,0.4556809177054362,0.0001630842719418435,40,0.4,1.0,1.0
39,PHYS,0.03214166885422861,0.45568091770542446,0.00016308427194456737,40,0.4,1.0,1.0
40,PHYS,0.032216469856459665,0.4556809177054088,0.00016308427194486916,40,0.4,1.0,1.0
41,PHYS,0.03189772373542025,0.45568091770539576,0.00016308427194494519,40,0.4,1.0,1.0
42,PHYS,0.03156357283997537,0.45568091770538005,0.00016308427194809127,40,0.4,1.0,1.0
43,PHYS,0.031476142914021246,0.45568091770536984,0.0001630842719499398,40,0.4,1.0,1.0
44,PHYS,0.03137088008935945,0.4556809177053527,0.0001630842719511083,40,0.4,1.0,1.0
45,PHYS,0.031192509815983947,0.4556809177053401,0.00016308427195264752,40,0.4,1.0,1.0
46,PHYS,0.03136303163258814,0.4556809177053244,0.0001630842719545328,40,0.4,1.0,1.0
47,PHYS,0.03192162667016175,0.45568091770531255,0.0001630842719541406,40,0.4,1.0,1.0
48,PHYS,0.032417082330455316,0.45568091770529656,0.0001630842719572423,40,0.4,1.0,1.0
49,PHYS,0.032767469117546286,0.4556809177052836,0.0001630842719587494,40,0.4,1.0,1.0
