time,m_x,m_y,m_z,qfi
1,0.1954557858428114,0.0,0.0,330.68888828490634
2,0.2998700559214971,-8.855759344033361e-52,2.767170921095176e-51,1130.0923593231003
3,0.12751465316983324,-1.5036360666479482e-51,-8.386957928409102e-52,2468.95219617239
4,0.05778072020806964,1.5081728238977544e-51,-7.109434733044335e-53,4623.310676474335
5,0.24382984991654705,1.017606665037608e-51,3.5172971361562024e-52,7244.495964231439
6,0.2298473049535961,-2.4649309046347705e-51,4.218821342448826e-51,10147.02710317082
7,0.08511307800345233,-2.565712965354561e-51,-3.8044884809444074e-51,13883.354744537206
8,0.1497933276725207,2.8604081087029336e-51,1.0024656284883213e-51,18401.62126290864
9,0.23600199729661062,3.144818790589962e-51,-2.147315748373006e-51,23101.292386960416
10,0.15346277955016738,-2.7419619164138896e-51,4.367878318316555e-51,28351.865001665134
11,0.11922578237557536,-9.439523749831867e-52,-1.587600631921323e-51,34569.31498746875
13,0.19626721440765518,3.080523670263064e-51,1.54894143379926e-51,48016.10723209749
15,0.17691190399111031,-7.772433686087032e-52,-4.7311330679158575e-51,64266.25858929415
17,0.15044864388292858,-8.869109131409698e-52,-5.1880390280392044e-51,82271.96070366664
20,0.14838387265461167,3.7693904905534236e-51,6.609169789767181e-51,113760.23197832226
23,0.1802697760153452,6.770156986667564e-51,-7.712310082122719e-51,150531.26003076741
26,0.1866609516167618,-8.22498712363008e-51,2.756839342678415e-51,192369.13649685326
30,0.11011018834856619,-5.775271708321979e-51,3.1301178019122045e-51,255752.6800289498
34,0.04613600707841174,4.144654806295084e-51,4.589357180420463e-51,328643.68482266506
40,0.28145306816066806,-1.1961274364646274e-50,1.16798963398455e-50,455313.56534326635
46,0.16134254115427407,1.2477527110536628e-50,2.649267923421177e-51,603721.4528446065
52,0.11384046031322996,-1.0554530369318206e-50,1.1615609324924988e-50,770192.9745706001
60,0.168491804518093,-9.162266951459241e-51,-1.2525854810293345e-51,1025379.6450255092
69,0.08460379302714603,1.3496269206831829e-50,-2.0532793164176697e-50,1356863.4422081304
80,0.08510842577796227,3.81396875846569e-50,3.209336111580413e-51,1823302.9845312056
92,0.21540594710119768,2.124898458173076e-51,3.056266484293496e-50,2407950.3364067166
105,0.25317126325610584,-3.195277601582516e-50,-1.8330512318458598e-50,3135058.483546484
121,0.08072920001076757,-1.9088982344306302e-51,-4.489756465205714e-50,4164147.089991156
139,0.2217073622344963,-7.448016802129428e-50,-3.175597027205732e-50,5491012.680279044
160,0.22296420561069918,5.382293975549631e-50,3.028812185739793e-50,7275142.809606365
184,0.255878863129286,-2.3827742714924034e-50,4.509912164033176e-50,9614371.707376173
212,0.18263472110696163,1.8235438019309468e-50,2.2361485537397023e-50,12750641.965578198
243,0.20156873785091528,1.1446251987778771e-49,-5.154459262235677e-50,16750136.753902255
280,0.08466421491220703,1.4583095140509775e-49,3.764933723028928e-50,22225770.74393274
321,0.13609281678201854,-6.431162273114694e-50,-1.5423148850112265e-49,29204995.314671274
369,0.13104475956453487,-1.3164818014966852e-49,-1.4723629699922811e-49,38597161.08295237
424,0.06996616440106614,2.1498302499466295e-49,2.2093968859566243e-49,50955528.61404458
488,0.23782355990232656,4.370543458046724e-50,2.064944374763993e-49,67503626.30135264
560,0.21529148914787166,2.729642606756516e-49,2.698982944832875e-49,88887717.4293159
644,0.1529237091815936,8.456296617912591e-51,5.332282596123608e-49,117529846.0057169
740,0.20767208773327128,-2.494744558314415e-49,4.694675631133206e-49,155209782.7813867
850,0.22889071309517536,-9.915142121649684e-50,4.859069195832113e-49,204782739.46918517
977,0.16337944252159473,-2.512862088875484e-49,-5.400534505513229e-49,270499780.0770325
1122,0.14182884121538195,7.229401804828864e-50,5.154454894049905e-49,356761484.03021944
1289,0.11873756868006001,4.8070332421548594e-49,-8.48827752687777e-49,470778653.2825022
1482,0.12633228750690945,2.867289666247492e-49,8.756369358151427e-49,622221765.6033515
1702,0.2061202513020984,9.293518664768842e-52,1.1436059702792785e-48,820569003.189357
1956,0.10623865051463405,-2.7844486791404004e-50,1.392349869400721e-48,1083581134.1887062
2247,0.20684715507944632,-3.9237771363589524e-49,-1.5047459503004044e-48,1429459098.0569277
2582,0.20483185344102112,-3.1820435686382007e-49,1.940901865284572e-48,1886845252.1100466
2967,0.1653306159252821,1.1723325054465044e-49,-1.7951777063146256e-48,2490346189.2344074
3409,0.2564881447813075,5.358238054540641e-49,-2.041428270760257e-48,3285574017.6259146
3917,0.18491666507819932,3.48557383818328e-49,-3.2185713343827564e-48,4334342171.541789
4500,0.1647873290617454,4.320115081755245e-49,3.637886389263986e-48,5714973513.746156
5170,0.1498934146174051,8.019899421099408e-50,4.243900254878402e-48,7534143686.41289
5941,0.19877257604922488,3.2970793952716668e-49,-5.0014886205008113e-48,9932639064.162754
6826,0.21501989896869508,8.958000833024922e-50,4.480808836402984e-48,13087161796.683418
7842,0.10937621904261692,5.514605734207754e-49,6.255161969926322e-48,17232810179.67308
9011,0.11248682931955109,-9.606746755841363e-49,-8.169546292107952e-48,22691945655.709785
10353,0.14685392077593537,-3.3087836393765433e-48,-9.477848658587371e-48,29865563736.58665
11895,0.2092948665845053,-6.017425854756835e-49,-1.0909554343329408e-47,39304407693.87866
13667,0.17590656659915008,-1.2599631555010782e-48,-1.2042290826336722e-47,51741769716.85127
