time,m_x,m_y,m_z,qfi
1,0.25668309944809703,-1.7996603816108967e-51,-3.7041459038059185e-42,604.840388268333
2,0.25668309944809703,-4.346014036562692e-52,3.704145904183531e-42,2408.7223236196073
3,0.25668309944809703,1.7901013178335933e-51,-3.7041459072231726e-42,5402.73171081289
4,0.25668309944809703,5.4484039975863144e-52,3.7041459076673267e-42,9598.654016606
5,0.25668309944809703,-1.463027030882436e-51,-3.704145904287118e-42,15003.835289625531
6,0.25668309944809703,-8.672138753402972e-52,3.7041459068513265e-42,21605.248809288303
7,0.25668309944809703,1.4675960088521925e-51,-3.704145908407823e-42,29397.624076470278
8,0.25668309944809703,1.0306556455289946e-51,3.704145910519451e-42,38394.599051484816
9,0.25668309944809703,-1.6668607786108384e-51,-3.7041459106818446e-42,48599.60399278257
10,0.25668309944809703,-1.2362303486156808e-51,3.7041459109000715e-42,59998.335225948045
11,0.25668309944809703,1.0022948814604064e-51,-3.704145913278271e-42,72589.62488305887
12,0.25668309944809703,1.4875716153702022e-51,3.704145913786356e-42,86387.78592124184
13,0.25668309944809703,-7.12895256066632e-52,-3.704145911755052e-42,101392.04650830684
15,0.25668309944809703,7.830394943452939e-52,-3.7041459158446604e-42,134978.82476724818
16,0.25668309944809703,1.769436394456493e-51,3.704145916034257e-42,153578.13740379043
18,0.25668309944809703,-1.6290719519489042e-51,3.7041459174450787e-42,194374.46845581627
20,0.25668309944809703,1.897027743399866e-51,3.70414591907048e-42,239965.55510645808
23,0.25668309944809703,-4.105932494024215e-52,-3.704145920585578e-42,317349.0568706436
25,0.25668309944809703,8.756215684242425e-52,-3.704145919915179e-42,374948.7652875954
28,0.25668309944809703,1.6974027787737157e-51,3.704145923966641e-42,470331.1402699567
31,0.25668309944809703,-1.0179944031079965e-51,-3.704145929674189e-42,576508.4756030486
34,0.25668309944809703,-6.89270671947849e-52,3.704145930289067e-42,693489.4729732752
38,0.25668309944809703,-1.8728904039655917e-52,3.704145933595004e-42,866261.0706006376
42,0.25668309944809703,3.670160533220016e-52,3.7041459364812086e-42,1058229.9524215325
47,0.25668309944809703,-1.2686020531214438e-51,-3.70414593594942e-42,1325193.0497727685
52,0.25668309944809703,-8.064923267800212e-52,3.7041459420971946e-42,1622147.4665722407
58,0.25668309944809703,2.0989283115443095e-51,3.7041459477143666e-42,2018078.2859100269
65,0.25668309944809703,1.6273285553097522e-52,-3.7041459519538123e-42,2534592.7240703404
72,0.25668309944809703,-8.864170313780714e-52,3.7041459588924305e-42,3109902.322572053
80,0.25668309944809703,-2.1818597927188979e-54,3.704145964885054e-42,3839383.390695402
89,0.25668309944809703,-9.936819420157885e-52,-3.7041459691295665e-42,4751842.146759191
98,0.25668309944809703,-8.66455957007524e-52,3.704145977274286e-42,5761481.504560196
109,0.25668309944809703,7.822668484990798e-52,-3.7041459842488244e-42,7127463.746966305
121,0.25668309944809703,2.1430808115480457e-51,-3.704145992612756e-42,8783195.47673547
135,0.25668309944809703,-7.829962698851995e-52,-3.704146002741495e-42,10933249.813760059
149,0.25668309944809703,4.565202137864236e-52,-3.704146014011871e-42,13318459.761405114
166,0.25668309944809703,8.457787775778177e-52,3.704146027962286e-42,16530952.366738977
184,0.25668309944809703,1.6080808708737305e-51,3.7041460438096694e-42,20310338.108388018
204,0.25668309944809703,9.507670770443416e-52,3.704146057368854e-42,24965596.115238186
227,0.25668309944809703,-1.7705052529560203e-51,-3.704146071150422e-42,30912440.787566274
252,0.25668309944809703,-1.2479531704152446e-51,3.7041460952721133e-42,38096278.25976775
280,0.25668309944809703,5.5401686201736836e-52,3.7041461148157545e-42,47032447.26914602
310,0.25668309944809703,-2.572303110590256e-52,3.704146138117088e-42,57650736.99321669
344,0.25668309944809703,-1.6018487820942256e-51,3.704146164099804e-42,70990192.06015173
382,0.25668309944809703,-2.418839482980205e-51,3.7041461927475697e-42,87540332.523338
424,0.25668309944809703,-2.5683939869569426e-51,3.70414622393783e-42,107848269.1244597
471,0.25668309944809703,-3.452837207342082e-51,-3.7041462563566576e-42,133083218.57544746
523,0.25668309944809703,-3.5289203833762556e-52,-3.704146298514249e-42,164091032.36984056
580,0.25668309944809703,-2.1976805391030946e-51,3.7041463398565946e-42,201807573.4787365
644,0.25668309944809703,-1.493358354671004e-52,3.7041463865813534e-42,248801627.04723606
714,0.25668309944809703,-7.296783679498877e-52,3.7041464413780227e-42,305828455.7433675
793,0.25668309944809703,4.617977646087717e-52,-3.704146496425459e-42,377248785.83875346
880,0.25668309944809703,6.2867448751384455e-52,3.704146565799633e-42,464565350.88141716
977,0.25668309944809703,-3.1703343011582506e-52,-3.7041466343772186e-42,572625386.6465763
1084,0.25668309944809703,-3.5620520676194795e-51,3.7041467180544076e-42,704920327.0310161
1203,0.25668309944809703,1.2844240492692805e-51,-3.704146809012704e-42,868185886.5819738
1335,0.25668309944809703,-3.8573046346491275e-52,-3.7041469033962435e-42,1069163194.7566285
1482,0.25668309944809703,-2.3637526063229786e-51,3.70414701900711e-42,1317582668.8915763
1644,0.25668309944809703,-4.841506298593028e-52,3.704147139774957e-42,1621381050.5579202
1825,0.25668309944809703,8.714473068021853e-52,-3.704147273247084e-42,1998053924.2843494
2025,0.25668309944809703,3.2341809643284193e-52,-3.704147424524362e-42,2459979685.5175095
2247,0.25668309944809703,-2.529760392821541e-51,-3.7041475943321924e-42,3028918657.5518513
2494,0.25668309944809703,-1.1096125897488616e-51,3.704147777165404e-42,3731421973.0647006
2768,0.25668309944809703,-5.943838352885323e-52,3.704147982868839e-42,4596355780.391473
3072,0.25668309944809703,-5.36160325010104e-52,3.70414821199015e-42,5661400621.862624
3409,0.25668309944809703,-3.250826009596718e-51,-3.704148462377548e-42,6971648267.5976305
3783,0.25668309944809703,4.2495145755187875e-52,-3.7041487417254366e-42,8585273758.870724
4198,0.25668309944809703,-2.2465778042178163e-51,3.704149054754363e-42,10572223466.81012
4659,0.25668309944809703,-3.9564663334891384e-51,-3.7041493997984796e-42,13021676038.44408
