time,m_x,m_y,m_z,qfi
1,0.10180973055766616,0.0,0.0,85.609004051727
2,0.15094264897638054,5.183324005049768e-27,-1.8011173856492408e-26,330.1541807761795
3,0.033464118299432466,-1.525566477482284e-26,1.4116036428020206e-26,741.7181177851952
4,0.037798607586917596,-2.6516690739323974e-26,-5.494357273151547e-26,1335.7507386089505
5,0.1502531687477048,1.1395843035394251e-26,6.553770622953064e-26,2079.6887939878875
6,0.08889662678732943,4.225166811748161e-26,-8.105710729121279e-26,2976.041557046624
7,0.014320731036037643,4.909776237148512e-27,9.684650792540958e-26,4070.0746287068064
8,0.11206235348565119,-5.130068605589974e-26,-9.802361016797765e-26,5327.864712160869
9,0.12916231556245658,-3.4545304657293864e-26,8.288577451849847e-26,6712.510787319582
10,0.02778681847693452,3.222935013068725e-26,-1.4314423984976094e-25,8291.796213061218
33,0.12525983598432766,-1.5052810448452544e-25,3.935005045710318e-25,90357.28473934834
112,0.11492855515138725,7.63887952848221e-25,-1.3964347893853045e-24,1041067.4601113896
379,0.13221319017757413,-1.5904926689711156e-24,4.617692656430064e-24,11922538.57276441
1274,0.04247742664930353,6.489928349322316e-24,-1.7372726857365294e-23,134720702.46243936
4281,0.14997762866371614,-1.687509034576644e-23,5.092791531454842e-23,1521032087.615176
14384,0.14435398343150732,4.8259202157879155e-23,-1.7277843825026566e-22,17152130158.693548
48329,0.06629135182531155,-3.2419965828639036e-22,6.386384967262369e-22,193300016295.27347
162377,0.14202492501292893,7.144204932896371e-22,1.9386955512209447e-21,2181771185629.3284
545559,0.057824113315221394,-3.5775919997884894e-21,7.307849049379198e-21,24622862324163.645
1832980,0.15591893061290998,6.471894681694307e-21,-2.0947949777209257e-20,277248669565903.9
6158482,0.02460256947625038,-3.4437174885445324e-20,-5.0067520027191856e-20,3055848496883511.0
20691380,0.13645592914860633,3.582950099580657e-20,-1.486025355554867e-19,3.320277348129165e+16
69519279,0.09657605856448623,-6.331784564217032e-20,4.654319932627172e-19,3.738988398484233e+17
233572146,0.07673563003961272,-1.2112810724473676e-19,-1.4924172843611364e-18,4.218559373810441e+18
784759970,0.15469401679287617,3.266964432374567e-19,-5.204050463709343e-18,4.749055012983484e+19
2636650898,0.15072053844557332,3.357358640033718e-19,-1.8307613916851705e-17,5.1989402162494525e+20
8858667904,0.041076303626775036,-2.103956118233324e-18,-4.505547606035101e-17,4.092859526394469e+21
29763514416,0.05480010114711624,1.780751689974976e-18,-2.5684533665214465e-17,9.655849561969316e+20
100000000000,0.08347333519372231,1.1992577537896927e-18,1.55330707420358e-17,1.3943166831628e+21
