time,m_x,m_y,m_z,qfi,qfi_raw
1,0.2466217374167947,0.0,0.0,0.3407939876781237,545.270380284997927491036613927056500300215773484789236217768
2,0.39393931572698115,-2.7550926096148326e-62,-3.8755465487608207e-63,0.2486337984819489,1591.25631028447291174316921317386951595288352082782997017242
3,0.2805929418504949,-8.016166577014069e-62,1.0229542020010029e-61,0.21551283186726844,3103.38477888866542363284160438214498525164384266307859453057
4,0.11752177253067021,3.988949531933793e-62,-8.25160010038209e-63,0.22629559706649238,5793.16728490220497637742402953511000134561946509244145049979
5,0.24073765895169386,-2.19102710580422e-62,-1.3497764471207732e-61,0.23583321057879733,9433.32842315189292342738995622432101211605168650100937262417
6,0.30973628130483477,-1.2898175202107579e-61,1.5572794046524903e-61,0.2279046319621646,13127.3068010206814368888624814837346320557151980982021329235
7,0.22647165328948904,-3.3024634085909565e-62,-3.0712707601245476e-61,0.22335325156350308,17510.8949225786420738863316685426809465589240688365350607139
8,0.17462406861672514,2.1856268825831235e-61,1.0402718520659488e-61,0.22760744476347927,23307.0023437802762813797352882289352162518807727809861226166
9,0.240227030792791,1.742135177978314e-62,-8.322855916400533e-62,0.22988189137225382,29792.6931218440958163753232684801807245486043540074952801839
10,0.2806559152651774,-1.2423332115475663e-61,2.7962450522640268e-61,0.2275603985992524,36409.6637758803841878198818323654386906626535475330644793784
11,0.237952107938898,-1.2403921266237428e-61,-4.0345032926130585e-61,0.22664256803346072,43878.0011712779945424485387318326006014985201041333369735732
12,0.23271091380661066,7.117967784838465e-62,1.0029216630219407e-61,0.22748725856484006,52413.0643733391498589487939760566459828701071109881797011859
13,0.2807890921580196,1.885006012183023e-61,-2.092357873569934e-61,0.22639030735355634,61215.9391084016305105470786492101736409137527950530068485428
14,0.2106984119204196,-1.5702685087561245e-61,3.771426970942123e-61,0.22499995048312374,70559.9844715076009860304835985189770373720423587486765574513
15,0.18656905468304988,-1.4611424812352371e-61,-3.3915383950714406e-61,0.2262516643738057,81450.59917457004970075193671680254903845761853008685501458
16,0.23461120344874856,1.771360057920734e-61,5.497895453972222e-62,0.2271206420866936,93028.6149987097031092848077774926793381524222621439447357875
17,0.2704824208087294,5.018819078246911e-62,1.6446983894696377e-61,0.22694446597971915,104939.121069022133415003975228694874102056501741572493660865
18,0.2601171827377339,-2.6415174352746424e-61,1.1526968814765456e-61,0.2261815245355792,117252.502319244244278053138240947465743516624954065155945747
19,0.25998263900209634,1.3365963370656227e-61,-1.1590252724339449e-61,0.22599689580121263,130535.807014780407224713653805792462057351864893169457783071
20,0.2445416506537995,3.546372266072172e-61,1.2424377314132247e-61,0.22521444339102178,144137.243770253939709336039222304681539934978563311955690774
21,0.17143963069735377,-1.2864309063752885e-61,3.0255076889042918e-61,0.22571695271642744,159265.881836711194869689423952609863482961288812712964945061
22,0.224000726150337,-4.826023601165963e-61,2.372150378387493e-62,0.22654401629341972,175435.686217624224392004908528769668698035691951731970195544
23,0.26878501978687563,3.364473719912597e-61,-5.084642607797713e-61,0.22644495827968225,191663.012687923067703059062582259949229826488606537100279173
24,0.27409333881075426,6.131671316728162e-61,3.140060276514437e-61,0.22557837010695614,207893.025890570787854825236306482501995414828781121579103915
25,0.21821125577359837,-5.095776685524656e-61,2.5762256662059185e-61,0.22555005296097086,225550.052960970857401819087831927539253930730224083831396795
26,0.2186169583279594,-6.446293040381001e-61,-1.8624574363792076e-61,0.22616564330810582,244620.759802047244035650643253485594525588049698620454513174
27,0.25314038182836773,7.434007685982679e-61,-4.455653710543459e-61,0.22638672680045233,264057.478140047599765320192067742364421689342235787405743907
28,0.2618786385072174,5.494169627795256e-61,7.148345682573652e-61,0.2257723833296594,283208.877648724756920191662354073609767329679875944458363642
