time,m_x,m_y,m_z,qfi
1,0.19177546420781658,0.0,0.0,82.83093431908503
2,0.3064531795792217,6.952372490128469e-52,2.3524649702483814e-52,281.7045760860808
3,0.16804080400496252,1.518966111993541e-51,1.1336701124779582e-51,604.3094708691211
4,0.09474671157683036,-1.2563065529323412e-51,4.19614844695157e-52,1114.2268614705513
5,0.22607420392582994,-1.1528755441928391e-51,-3.140788202513184e-51,1751.032148561349
6,0.21266794783964932,1.7723969025866183e-51,-8.543418848905073e-52,2465.1123913292686
7,0.12902008790968528,1.2411609216498486e-51,1.6298340399239222e-51,3365.8218176024543
8,0.15722771236619318,-8.6879744115388e-52,1.5697582755454407e-51,4446.469964605253
9,0.24049279503280444,-1.2920679200626776e-51,-1.487218455271202e-51,5590.497905792748
10,0.1552747993236523,-3.3356661794608822e-52,-1.0509258218263264e-51,6860.155097212647
10,0.1552747993236523,-3.3356661794608822e-52,-1.0509258218263264e-51,6860.155097212647
11,0.09862878964190136,1.9151108886093348e-51,2.437824932329706e-51,8390.883746845007
12,0.24975277926494777,1.024127082313834e-51,6.343911447111981e-52,9995.242199854563
13,0.2955599075638277,3.0863736639122354e-52,1.425045699966501e-51,11558.556791507664
14,0.08505263080847231,-3.265575199847763e-51,-9.419983798142049e-52,13374.923845640942
15,0.04649877416927383,2.8660373987792337e-52,-3.2777344449428096e-51,15568.392715183472
16,0.27529334103512487,4.3797167977449166e-51,1.0826909112279024e-51,17703.76133125683
17,0.2623142764599029,-7.613663669967228e-52,-1.2479623646672496e-51,19768.53964656969
18,0.09503156371209405,-4.756400450015951e-51,-2.2858187000547716e-51,22200.266924039184
20,0.2601071336220821,6.542123145256261e-51,-7.653441104699614e-52,27483.052089795638
21,0.16355697400378683,4.465702041583689e-53,2.8338123292931897e-51,30127.637809549862
23,0.20196194444969479,-2.1079578438233584e-52,8.373321890813426e-52,36292.43409088172
24,0.21568047219173414,8.36812203090327e-51,-3.1453283582557522e-52,39333.61638413726
26,0.15787774954382217,-4.9866312120563727e-51,-2.935146809023911e-51,46412.72059613949
28,0.22781297145873228,1.9524577251530288e-51,-3.7514899200705483e-51,53324.506490941814
30,0.15226153985771648,1.2864366063271368e-51,-1.9354064232577593e-51,61624.62656219036
32,0.18209515010849908,-6.015626911294594e-51,-4.9271317502805724e-51,69519.39119139755
34,0.22748751985277946,9.400980945179123e-51,-1.5469495932260427e-51,78912.80771053008
37,0.15940118807593986,5.845842996590747e-51,2.2785348001381894e-51,93197.29249264544
40,0.09297043833796695,-1.339771349955873e-50,-9.64982950315656e-51,108676.78526361403
42,0.3035253754003554,1.0095043871365664e-50,-5.60556452712303e-51,119544.73421382002
46,0.2702043246673117,3.169603324922113e-51,-1.1659226570529795e-50,143106.6810138479
49,0.27365317026362407,-8.336472436219038e-51,2.2766518971544117e-51,162656.04440146562
52,0.20597386058152267,4.3199630471686067e-51,-3.069278973921999e-51,183233.3064624185
56,0.29147057711897145,8.919208842729289e-51,-4.286004696922226e-51,212349.37402612253
60,0.29233180043057677,1.4792086487817227e-50,-5.46800427297085e-51,243620.14093622868
65,0.13722372189334517,6.263371365276826e-51,8.641044061698373e-51,285628.5496307151
69,0.07229476434417414,8.286361353114332e-51,8.56522701661618e-51,322247.9738166791
74,0.22974069083446472,1.502761135533057e-50,-1.2578991796502157e-51,371150.2278513292
80,0.1232726542696027,-2.544729533270003e-50,-1.280005550820755e-50,433311.11459577485
86,0.2544782512788006,1.402348253104286e-50,-1.023094415464077e-50,500115.8580549147
92,0.16690415193851413,1.4691505018636288e-50,-6.534206499505728e-51,573411.4647947119
98,0.05061923174276804,-2.5560632914987593e-50,-2.899944511675328e-50,649806.0909953828
105,0.14033086931291197,1.2886520264986594e-50,2.1167865282749948e-50,745112.6782852978
113,0.0884390505189614,2.003290634208761e-50,1.2021045448486485e-50,863950.0207086644
121,0.13478706313951458,-4.999461791836766e-51,-7.350684799567022e-51,990443.6265590267
130,0.17399672761561677,1.6527180161001518e-51,-1.2722389263915061e-50,1141450.2211923879
139,0.18324488761243035,1.3910585957132506e-50,-5.933987025783614e-52,1307017.4967180577
149,0.1072722513018239,3.1732241653940154e-50,2.1326414147000995e-50,1500425.4957325947
160,0.0394843368577799,-3.448952603096282e-50,-3.100758255056067e-50,1729876.836450458
172,0.2286989512182679,1.094500223089845e-50,1.5708915270462226e-53,1999735.2849785371
184,0.26184875853288453,3.825102070888938e-50,-1.2307368611757e-50,2285514.97175647
197,0.15268129591835772,4.884185122440982e-50,7.094699442016105e-51,2621645.650005968
212,0.20676796453035098,9.479537795016264e-51,-8.775294363206205e-51,3034902.0939483517
227,0.254641355562699,-3.8404813335587254e-50,7.210592261502918e-51,3477007.4146985207
243,0.10082517187409473,-2.5834285078474105e-51,1.9416799217074606e-50,3981076.8210328016
261,0.19807588985883695,6.113499267845582e-51,3.2368023566538142e-50,4590464.163605213
280,0.10245387250175322,-6.8738755872532635e-50,-1.9628690212322428e-50,5282074.134880628
300,0.28527928539032377,5.076262358758047e-50,-4.747540430785399e-51,6059222.007839887
321,0.17258999882723128,-2.1256284847667714e-50,8.889575511143536e-51,6935633.973275758
344,0.27687326289665065,4.97709255049972e-50,-2.157467244752435e-50,7953937.122667329
369,0.2227118517926403,-1.076616432797065e-49,1.6297430276317575e-50,9145390.744458979
396,0.1498954888337157,-8.990750021432338e-50,-3.5273220777104486e-50,10520581.419574434
424,0.27787836469482696,6.828916887051124e-50,-4.822694648381345e-50,12046223.314211998
455,0.11993028601122255,7.906490124755986e-50,-1.9705481296412497e-50,13855531.596029116
488,0.1775603733518692,-3.8935397501722887e-50,1.8338928639016549e-50,15913821.651110752
523,0.17145486261574247,7.652579803781524e-50,2.920513753619006e-50,18237494.657157082
560,0.09809167808761009,-1.1944579706989648e-49,-1.2064863034299756e-50,20871334.71220004
601,0.18915622031471915,1.5237815931342664e-50,-6.370579286249156e-50,23981995.5298708
644,0.1303304679010954,-1.1498356332924933e-49,4.254421528642381e-50,27461457.676575836
690,0.18183471874487453,-1.5461701619042482e-50,-1.9069842269814431e-50,31420033.328693133
740,0.2907084897570807,1.3405829792342787e-49,-5.932876832926611e-51,36017009.553255506
793,0.08908232492354021,9.885710706986612e-50,-6.4234120622194745e-50,41200044.756506905
850,0.1553410132238785,-2.8619517389923014e-50,2.4272062719051915e-50,47112540.11575661
911,0.30220829297430407,-1.0261936606628054e-49,-2.2412756416540455e-50,53850569.22385672
977,0.21988434192075593,-7.330958023728082e-50,-2.5225003391562047e-50,61575171.134415776
1047,0.13504519278670807,2.1474337325036792e-49,-5.4563434501451865e-50,70271706.41669054
1122,0.24219762886176244,1.3614816815409833e-49,1.1455987669071848e-49,80123146.6884894
1203,0.2011272351823476,2.007992312953174e-49,-6.817531838868204e-50,91380991.61494727
1289,0.2825251596756972,-2.3693119232498973e-49,-8.825570801383521e-50,104010172.48000437
1382,0.12139337897150626,-1.3507430871835116e-49,1.7300351404300208e-49,118419357.53220339
1482,0.2606479730957435,1.2850607011949334e-49,1.4246410464340576e-49,134745654.54132023
1588,0.2386736436038958,-1.4039514772801504e-49,1.133227756275971e-49,152992139.37549776
1702,0.08328407398820244,-1.596138363149088e-50,1.8982385723530694e-49,173681126.06349018
1825,0.16332179886869114,2.291820075716269e-49,-9.649974579536648e-50,197197266.4076226
1956,0.17281763744535808,-1.7043366436176185e-49,8.293060851656424e-50,223645061.62122357
2097,0.28475173981177965,9.40116295358324e-50,1.6776444277962995e-50,253755902.090068
2247,0.15853378891479616,7.658882402264601e-50,1.3885195534413336e-50,287747066.35681206
2409,0.2529138630171166,-3.6640516797651186e-51,1.0456560187439612e-49,326862713.1891434
2582,0.11476150994916404,2.1442382963609977e-50,-1.439182305711764e-49,371577689.3491484
2768,0.11863054978867077,-2.0626201964987365e-50,-2.6304282729998294e-49,423339084.234956
2967,0.16351785563009516,-1.9069696529288548e-50,3.7190485267823246e-49,483243181.25570905
3180,0.28347241147298424,5.08510582073073e-50,-3.953437404322202e-49,552947493.1612868
3409,0.26568346869660486,-2.2692743319721996e-50,4.242533947296499e-49,634582429.8697418
3654,0.12646505881637973,1.210590143349458e-49,-5.754590759910622e-49,729726046.094164
3917,0.04290298020277309,2.2560739548365676e-49,4.841329547080446e-49,840751760.6931067
4198,0.1835500206079913,1.3608798447292772e-49,-3.3167740404349832e-49,968898861.9892552
4500,0.23890726379828986,2.664530846094406e-49,-3.030721980149907e-49,1116526746.379828
4824,0.25325442758438205,2.6101529102646106e-49,-2.8961975842810732e-49,1284925650.6579936
5170,0.23855469126484444,2.2609045141348654e-49,-3.756687206534408e-49,1474918264.8734317
5542,0.15317703754470818,-1.5743330423760897e-49,-4.9757840444785445e-49,1690436565.6649942
5941,0.2881908717085309,-1.1268975165571862e-49,6.4841595019304936e-49,1935605492.5211823
6368,0.10422137194769852,-1.5390415428939991e-49,-8.772258031991856e-49,2216907064.8168073
6826,0.04820733465591663,-1.6608550011770935e-49,-1.0654147046444092e-48,2543998069.535517
7316,0.23818142919341395,3.2269420697790818e-49,-1.043566748217461e-48,2924981791.19491
7842,0.1373944183060825,6.845558637848945e-50,-7.164338721731215e-49,3367289192.1359973
8406,0.21837433720982644,3.029507303077975e-49,-6.929253780239809e-49,3872992253.451186
9011,0.23041660549065232,-6.289035929731472e-50,1.0934531906974816e-48,4445886076.591904
9658,0.2502727354956294,3.0010738774627202e-49,-1.3065536726845475e-48,5096587503.023663
10353,0.17590247761581662,-3.4645883369693485e-49,1.636830542374205e-48,5851306919.256824
11097,0.14578437653563742,8.994775308059382e-51,1.2150251447388376e-48,6729550839.3244915
11895,0.14771153325915018,-2.2740070749568472e-49,1.521954531205076e-48,7738715963.262246
12750,0.12780769261483174,-3.8611734050377598e-50,-1.7745921909430417e-48,8882010498.79563
13667,0.038665090199949556,4.517531638714751e-49,2.1686754691168745e-48,10194641787.713892
14649,0.05771665361785404,6.6164023296678246e-49,2.0469963572428672e-48,11720589297.582945
15702,0.27362399151476946,5.033364617364734e-49,-1.9394737795148855e-48,13468873077.338203
16831,0.019802967942328064,5.7487358327823846e-49,2.6536794897116816e-48,15458394313.162937
18041,0.20130941218316145,-8.021672617936878e-49,2.7080154365394377e-48,17766461926.34321
19338,0.15812077826445411,-1.2926608820409878e-49,-2.294891451712496e-48,20412671605.31416
20729,0.18290167520799913,-3.072312284897535e-49,3.477241295292256e-48,23437595031.693817
22219,0.2528091010465838,-8.995141000166154e-49,2.824065185929633e-48,26938609899.700047
23816,0.2696767902676615,1.0467812074131154e-48,-3.664762182067666e-48,30926694363.99671
25529,0.2574618047655625,-1.155939573508761e-48,3.736885589151808e-48,35542592742.2832
27364,0.0764335326445605,-1.204820568213075e-48,-4.0918752872803925e-48,40808036951.12058
29331,0.08451146915206358,1.2310704483439726e-48,4.4005022162440205e-48,46886676390.34062
31440,0.07245397606247209,-8.449194774564956e-49,-5.344805803655893e-48,53841163515.6198
